
Calibration date of EPC10_USB: 27-Jun-2018

ElProScan hardware configuration:
  ELP 3
  ElProScan Version:  4
  Baudrate:     9600
 Piezo: 
  Range:       1.00000000E+02 um

 Ranges of step motors:
  XX axis:      5.00000000E+04 um
  YY axis:      5.00000000E+04 um
  ZZ axis:      4.00000000E+04 um

Lib Version: 1.A.043  Lib date: 05.07.2010
OS Version: 0.  OS date: E3.07.0016
Connected to CPU on Slot  1, Layer  0
Program    665 installed as task     16, Version: F2.A.000
maxsecm version:     14
Program    785 installed as task     18, Version: F2.A.000
maxscan version:     14
mdd version (X-C16-3):   21561348
mdd version (X-DA16-4):   21692422
mdd version (X-AD16-4):   21495811
mdd version (X-AD16-4 ShearForce):   21495811
ElProScan: Initialization was successful
Program  40967 installed as task    768, Version: 1.F.000
Program  40968 installed as task    784, Version: 1.E.000
Position controller detected
:A ASI-MS2000-XYUL-ZUL-USB 
Dialog file loaded: "Amplifier.dia".
Batch processing started as sender, polling.


Welcome to PatchMaster - v2x90.3 beta, 30-Aug-2017
Configuration file: "C:\HEKA\Patchmaster\Redox_Fura.set"

New file opened read-write: 
  "C:\HEKA\Data\REDOX\2018\06 - June\28.06.2018\M1\18062801.dat". 
Imaging: communication breakdown! 
Execute protocol:   Initialize
Execute protocol:   CA_Go
Sweep #	     Timer[s]	    I(tip)[A]	      Temp[C]
      1	   3.2880E-01	   2.0404E-10	   2.4869E+01
      2	   1.1442E+00	   2.0404E-10	   2.4867E+01
      3	   1.8302E+00	   2.0404E-10	   2.4866E+01
      4	   2.5792E+00	   2.0404E-10	   2.4871E+01
Function cannot run while acquiring a Series!
      5	   3.3204E+00	   2.0404E-10	   2.4871E+01
Function cannot run while acquiring a Series!
      6	   4.0166E+00	   2.0404E-10	   2.4870E+01
Function cannot run while acquiring a Series!
      7	   4.6424E+00	   2.0404E-10	   2.4869E+01
      8	   5.3172E+00	   2.0404E-10	   2.4872E+01
      9	   6.0724E+00	   2.0404E-10	   2.4871E+01
Execute protocol:   CA_Go
Sweep #	     Timer[s]	    I(tip)[A]	      Temp[C]
      1	   1.1801E-02	   2.0404E-10	   2.4880E+01
      2	   7.2320E-01	   2.0404E-10	   2.4881E+01
      3	   1.5342E+00	   2.0404E-10	   2.4881E+01
      4	   2.2832E+00	   2.0404E-10	   2.4884E+01
      5	   3.0330E+00	   2.0404E-10	   2.4882E+01
      6	   3.8432E+00	   2.0404E-10	   2.4884E+01
      7	   4.5922E+00	   2.0404E-10	   2.4888E+01
      8	   5.3402E+00	   2.0404E-10	   2.4886E+01
      9	   6.1522E+00	   2.0404E-10	   2.4890E+01
     10	   6.8994E+00	   2.0404E-10	   2.4891E+01
     11	   7.6484E+00	   2.0404E-10	   2.4892E+01
     12	   8.4594E+00	   2.0404E-10	   2.4892E+01
     13	   9.2084E+00	   2.0404E-10	   2.4893E+01
     14	   9.9574E+00	   2.0404E-10	   2.4897E+01
     15	   1.0707E+01	   2.0404E-10	   2.4896E+01
     16	   1.1456E+01	   2.0404E-10	   2.4895E+01
     17	   1.2079E+01	   2.0404E-10	   2.4894E+01
     18	   1.2829E+01	   2.0404E-10	   2.4890E+01
     19	   1.3576E+01	   2.0404E-10	   2.4892E+01
     20	   1.4388E+01	   2.0404E-10	   2.4892E+01
     21	   1.5137E+01	   2.0404E-10	   2.4892E+01
     22	   1.5885E+01	   2.0404E-10	   2.4890E+01
     23	   1.6696E+01	   2.0404E-10	   2.4886E+01
     24	   1.7446E+01	   2.0404E-10	   2.4890E+01
     25	   1.8195E+01	   2.0404E-10	   2.4889E+01
     26	   1.8944E+01	   9.9900E-11	   2.4887E+01
     27	   1.9693E+01	   9.6748E-11	   2.4889E+01
     28	   2.0316E+01	   9.6092E-11	   2.4890E+01
     29	   2.1065E+01	   2.0404E-10	   2.4892E+01
     30	   2.1814E+01	   2.0404E-10	   2.4892E+01
     31	   2.2624E+01	   2.0404E-10	   2.4889E+01
     32	   2.3374E+01	   2.0404E-10	   2.4888E+01
     33	   2.4122E+01	   2.0404E-10	   2.4890E+01
     34	   2.4872E+01	   2.0404E-10	   2.4889E+01
     35	   2.5621E+01	   2.0404E-10	   2.4890E+01
     36	   2.6245E+01	   1.8916E-10	   2.4891E+01
     37	   2.6992E+01	   1.7912E-10	   2.4888E+01
     38	   2.7742E+01	   1.7965E-10	   2.4888E+01
     39	   2.8553E+01	   1.7981E-10	   2.4885E+01
     40	   2.9302E+01	   1.7985E-10	   2.4882E+01
     41	   3.0052E+01	   1.7970E-10	   2.4879E+01
     42	   3.0800E+01	   1.8720E-10	   2.4878E+01
     43	   3.1549E+01	   2.0337E-10	   2.4877E+01
     44	   3.2173E+01	   2.0404E-10	   2.4876E+01
     45	   3.2920E+01	   1.9997E-10	   2.4874E+01
     46	   3.3670E+01	   1.9125E-10	   2.4873E+01
     47	   3.4481E+01	   1.8986E-10	   2.4872E+01
     48	   3.5229E+01	   1.8934E-10	   2.4871E+01
     49	   3.5978E+01	   1.8900E-10	   2.4874E+01
     50	   3.6728E+01	   1.8846E-10	   2.4871E+01
     51	   3.7477E+01	   1.4135E-10	   2.4875E+01
     52	   3.8100E+01	   1.4189E-10	   2.4872E+01
     53	   3.8848E+01	   1.4309E-10	   2.4874E+01
     54	   3.9597E+01	   1.5782E-10	   2.4873E+01
     55	   4.0408E+01	   2.0404E-10	   2.4874E+01
     56	   4.1158E+01	   2.0404E-10	   2.4879E+01
     57	   4.1906E+01	   1.8275E-10	   2.4881E+01
     58	   4.2655E+01	   1.4773E-10	   2.4879E+01
     59	   4.3405E+01	   1.4490E-10	   2.4881E+01
     60	   4.4091E+01	   1.4386E-10	   2.4879E+01
     61	   4.4839E+01	   1.4330E-10	   2.4879E+01
     62	   4.5589E+01	   1.4297E-10	   2.4879E+01
     63	   4.6337E+01	   1.2179E-10	   2.4876E+01
     64	   4.7086E+01	   7.1527E-11	   2.4876E+01
     65	   4.7710E+01	   7.0990E-11	   2.4874E+01
     66	   4.8459E+01	   7.5399E-11	   2.4876E+01
     67	   4.9208E+01	   1.6416E-10	   2.4873E+01
     68	   4.9956E+01	   2.0404E-10	   2.4871E+01
     69	   5.0706E+01	   2.0404E-10	   2.4869E+01
     70	   5.1329E+01	   1.7748E-10	   2.4864E+01
     71	   5.2078E+01	   1.0048E-10	   2.4860E+01
     72	   5.2827E+01	   2.0404E-10	   2.4859E+01
     73	   5.3638E+01	   1.9095E-10	   2.4858E+01
     74	   5.4387E+01	   1.8890E-10	   2.4855E+01
     75	   5.5136E+01	   1.8829E-10	   2.4855E+01
     76	   5.5885E+01	   1.8794E-10	   2.4854E+01
     77	   5.6634E+01	   1.8767E-10	   2.4852E+01
     78	   5.7257E+01	   1.8753E-10	   2.4854E+01
     79	   5.8327E+01	   1.8725E-10	   2.4851E+01
     80	   5.9004E+01	   1.8711E-10	   2.4851E+01
     81	   5.9753E+01	   1.8703E-10	   2.4849E+01
     82	   6.0557E+01	   1.8696E-10	   2.4849E+01
     83	   6.2513E+01	   1.8565E-10	   2.4848E+01
     84	   6.3186E+01	   1.8682E-10	   2.4847E+01
     85	   6.4496E+01	   1.8686E-10	   2.4849E+01
     86	   6.5245E+01	   1.8678E-10	   2.4850E+01
     87	   6.5993E+01	   1.8676E-10	   2.4853E+01
     88	   6.6896E+01	   1.8670E-10	   2.4852E+01
     89	   6.7554E+01	   1.8665E-10	   2.4854E+01
     90	   6.8302E+01	   1.8653E-10	   2.4853E+01
     91	   6.9203E+01	   1.8639E-10	   2.4857E+01
     92	   6.9820E+01	   1.8627E-10	   2.4860E+01
     93	   7.0549E+01	   1.8628E-10	   2.4861E+01
     94	   7.1447E+01	   1.8640E-10	   2.4863E+01
     95	   7.2170E+01	   1.8627E-10	   2.4863E+01
     96	   7.3169E+01	   2.0404E-10	   2.4865E+01
     97	   7.3918E+01	   2.0404E-10	   2.4864E+01
     98	   7.4666E+01	   2.0404E-10	   2.4864E+01
     99	   7.5603E+01	   2.0404E-10	   2.4864E+01
    100	   7.6290E+01	   2.0404E-10	   2.4864E+01
    101	   7.7032E+01	   2.0404E-10	   2.4864E+01
    102	   7.7974E+01	   2.0404E-10	   2.4866E+01
    103	   7.8723E+01	   2.0404E-10	   2.4869E+01
    104	   7.9471E+01	   2.0404E-10	   2.4868E+01
    105	   8.0372E+01	   2.0404E-10	   2.4871E+01
    106	   8.1095E+01	   2.0404E-10	   2.4871E+01
    107	   8.2093E+01	   2.0404E-10	   2.4872E+01
    108	   8.2841E+01	   2.0404E-10	   2.4873E+01
    109	   8.3591E+01	   2.0404E-10	   2.4875E+01
    110	   8.4494E+01	   2.0404E-10	   2.4873E+01
    111	   8.5151E+01	   2.0404E-10	   2.4871E+01
    112	   8.5899E+01	   2.0404E-10	   2.4872E+01
    113	   8.6703E+01	   2.0404E-10	   2.4869E+01
    114	   8.7458E+01	   2.0404E-10	   2.4867E+01
    115	   8.8490E+01	   2.0404E-10	   2.4865E+01
    116	   8.9143E+01	   2.0404E-10	   2.4865E+01
    117	   8.9890E+01	   2.0404E-10	   2.4863E+01
    118	   9.0641E+01	   2.0404E-10	   2.4865E+01
    119	   9.1452E+01	   2.0404E-10	   2.4864E+01
    120	   9.2202E+01	   2.0404E-10	   2.4867E+01
    121	   9.2944E+01	   2.0404E-10	   2.4866E+01
    122	   9.3761E+01	   2.0404E-10	   2.4863E+01
    123	   9.4511E+01	   2.0404E-10	   2.4865E+01
    124	   9.5259E+01	   2.0404E-10	   2.4866E+01
    125	   9.6039E+01	   2.0404E-10	   2.4864E+01
    126	   9.6722E+01	   2.0404E-10	   2.4867E+01
    127	   9.7380E+01	   2.0404E-10	   2.4867E+01
    128	   9.8129E+01	   2.0404E-10	   2.4867E+01
